>>>
>>>
>>>
>>> from main import *
I2C devices: ['0x1e', '0x68']
MPU6050 OK @ 0x68  [+/-8g, +/-2000dps, 50Hz]
HMC5883L OK @ 0x1E  [+/-1.3Ga, 15Hz, 8-avg]
# Ready. 9-channel HAR firmware.
#   test()               — single reading
#   calibrate_mag(sec)   — mag ellipsoid data collection
#   collect('label', sec)  — activity data collection
>>>
calibrate_mag(60)
# MAG_CALIB 60s 3000samples
# sample,mx,my,mz
430,27.5229,-13.1193,-21.1009
431,27.5229,-13.1193,-21.1009
432,24.3119,-13.2110,-23.2110
433,24.3119,-13.2110,-23.2110
434,24.3119,-13.2110,-23.2110
435,24.3119,-13.2110,-23.2110
436,19.0826,-15.7798,-25.0459
437,19.0826,-15.7798,-25.0459
438,19.0826,-15.7798,-25.0459
439,13.2110,-21.2844,-24.2202
440,13.2110,-21.2844,-24.2202
441,13.2110,-21.2844,-24.2202
442,8.6239,-27.0642,-20.9174
443,8.6239,-27.0642,-20.9174
444,8.6239,-27.0642,-20.9174
445,8.6239,-27.0642,-20.9174
446,7.1560,-33.6697,-13.3945
447,7.1560,-33.6697,-13.3945
448,7.1560,-33.6697,-13.3945
449,9.5413,-37.6147,-0.6422
450,9.5413,-37.6147,-0.6422
451,9.5413,-37.6147,-0.6422
452,13.3028,-36.1468,8.5321
453,13.3028,-36.1468,8.5321
454,13.3028,-36.1468,8.5321
455,13.3028,-36.1468,8.5321
456,15.9633,-31.4679,16.5138
457,15.9633,-31.4679,16.5138
458,15.9633,-31.4679,16.5138
459,21.0092,-24.2202,21.2844
460,21.0092,-24.2202,21.2844
461,21.0092,-24.2202,21.2844
462,25.5046,-14.4954,23.4862
463,25.5046,-14.4954,23.4862
464,25.5046,-14.4954,23.4862
465,25.5046,-14.4954,23.4862
466,27.1560,-6.6972,23.6697
467,27.1560,-6.6972,23.6697
468,27.1560,-6.6972,23.6697
469,27.2477,-1.7431,23.3028
470,27.2477,-1.7431,23.3028
471,27.2477,-1.7431,23.3028
472,27.7982,4.6789,21.1009
473,27.7982,4.6789,21.1009
474,27.7982,4.6789,21.1009
475,27.7982,4.6789,21.1009
476,26.9725,10.8257,17.8899
477,26.9725,10.8257,17.8899
478,26.9725,10.8257,17.8899
479,23.4862,15.7798,13.0275
480,23.4862,15.7798,13.0275
481,23.4862,15.7798,13.0275
482,19.5413,14.3119,6.6972
483,19.5413,14.3119,6.6972
484,19.5413,14.3119,6.6972
485,19.5413,14.3119,6.6972
486,18.4404,18.8073,6.5138
487,18.4404,18.8073,6.5138
488,18.4404,18.8073,6.5138
489,11.8349,25.4128,3.6697
490,11.8349,25.4128,3.6697
491,11.8349,25.4128,3.6697
492,3.2110,27.4312,-2.2018
493,3.2110,27.4312,-2.2018
494,3.2110,27.4312,-2.2018
495,3.2110,27.4312,-2.2018
496,-2.8440,25.5963,-7.8899
497,-2.8440,25.5963,-7.8899
498,-2.8440,25.5963,-7.8899
499,-8.8073,21.8349,-11.1009
500,-8.8073,21.8349,-11.1009
501,-8.8073,21.8349,-11.1009
502,-12.4771,17.3394,-13.6697
503,-12.4771,17.3394,-13.6697
504,-12.4771,17.3394,-13.6697
505,-12.4771,17.3394,-13.6697
506,-14.0367,12.9358,-15.8716
507,-14.0367,12.9358,-15.8716
508,-14.0367,12.9358,-15.8716
509,-14.5872,10.5505,-16.9725
510,-14.5872,10.5505,-16.9725
511,-14.5872,10.5505,-16.9725
512,-17.6147,10.0917,-14.2202
513,-17.6147,10.0917,-14.2202
514,-17.6147,10.0917,-14.2202
515,-17.6147,10.0917,-14.2202
516,-21.3761,10.0000,-8.8073
517,-21.3761,10.0000,-8.8073
518,-21.3761,10.0000,-8.8073
519,-25.7798,5.6881,-1.4679
520,-25.7798,5.6881,-1.4679
521,-25.7798,5.6881,-1.4679
522,-27.7064,-2.3853,3.5780
523,-27.7064,-2.3853,3.5780
524,-27.7064,-2.3853,3.5780
525,-27.7064,-2.3853,3.5780
526,-26.9725,-12.0183,5.5046
527,-26.9725,-12.0183,5.5046
528,-26.9725,-12.0183,5.5046
529,-23.8532,-20.9174,5.2294
530,-23.8532,-20.9174,5.2294
531,-23.8532,-20.9174,5.2294
532,-18.8073,-28.8073,2.2018
533,-18.8073,-28.8073,2.2018
534,-18.8073,-28.8073,2.2018
535,-18.8073,-28.8073,2.2018
536,-9.9083,-35.5046,-2.1101
537,-9.9083,-35.5046,-2.1101
538,-9.9083,-35.5046,-2.1101
539,0.8257,-37.5229,-8.9908
540,0.8257,-37.5229,-8.9908
541,0.8257,-37.5229,-8.9908
542,11.6514,-31.5596,-18.6239
543,11.6514,-31.5596,-18.6239
544,11.6514,-31.5596,-18.6239
545,11.6514,-31.5596,-18.6239
546,19.2661,-21.2844,-23.7615
547,19.2661,-21.2844,-23.7615
548,19.2661,-21.2844,-23.7615
549,22.3853,-10.9174,-25.6881
550,22.3853,-10.9174,-25.6881
551,22.3853,-10.9174,-25.6881
552,22.9358,-3.3945,-25.5963
553,22.9358,-3.3945,-25.5963
554,22.9358,-3.3945,-25.5963
555,22.9358,-3.3945,-25.5963
556,20.4587,1.1927,-26.0550
557,20.4587,1.1927,-26.0550
558,20.4587,1.1927,-26.0550
559,15.0459,0.4587,-27.8899
560,15.0459,0.4587,-27.8899
561,15.0459,0.4587,-27.8899
562,8.7156,-5.6881,-29.2661
563,8.7156,-5.6881,-29.2661
564,8.7156,-5.6881,-29.2661
565,8.7156,-5.6881,-29.2661
566,6.0550,-17.1560,-26.8807
567,6.0550,-17.1560,-26.8807
568,6.0550,-17.1560,-26.8807
569,7.6147,-28.5321,-19.7248
570,7.6147,-28.5321,-19.7248
571,7.6147,-28.5321,-19.7248
572,10.2752,-33.7615,-12.8440
573,10.2752,-33.7615,-12.8440
574,10.2752,-33.7615,-12.8440
575,10.2752,-33.7615,-12.8440
576,14.5872,-34.4037,-9.5413
577,14.5872,-34.4037,-9.5413
578,14.5872,-34.4037,-9.5413
579,19.6330,-33.8532,-4.8624
580,19.6330,-33.8532,-4.8624
581,19.6330,-33.8532,-4.8624
582,25.5046,-30.8257,-0.6422
583,25.5046,-30.8257,-0.6422
584,25.5046,-30.8257,-0.6422
585,25.5046,-30.8257,-0.6422
586,28.6239,-28.0734,2.2018
587,28.6239,-28.0734,2.2018
588,28.6239,-28.0734,2.2018
589,31.9266,-23.3945,4.1284
590,31.9266,-23.3945,4.1284
591,31.9266,-23.3945,4.1284
592,34.2202,-16.4220,9.2661
593,34.2202,-16.4220,9.2661
594,34.2202,-16.4220,9.2661
595,34.2202,-16.4220,9.2661
596,35.1376,-8.5321,10.6422
597,35.1376,-8.5321,10.6422
598,35.1376,-8.5321,10.6422
599,33.5780,1.1009,10.0000
600,33.5780,1.1009,10.0000
601,33.5780,1.1009,10.0000
602,25.5046,8.7156,8.3486
603,25.5046,8.7156,8.3486
604,25.5046,8.7156,8.3486
605,25.5046,8.7156,8.3486
606,23.2110,12.2018,7.5229
607,23.2110,12.2018,7.5229
608,23.2110,12.2018,7.5229
609,20.4587,18.0734,6.9725
610,20.4587,18.0734,6.9725
611,20.4587,18.0734,6.9725
612,16.2385,22.1101,6.6972
613,16.2385,22.1101,6.6972
614,16.2385,22.1101,6.6972
615,16.2385,22.1101,6.6972
616,9.1743,25.5963,5.0459
617,9.1743,25.5963,5.0459
618,9.1743,25.5963,5.0459
619,0.7339,26.6055,2.9358
620,0.7339,26.6055,2.9358
621,0.7339,26.6055,2.9358
622,-7.2477,25.2294,-0.8257
623,-7.2477,25.2294,-0.8257
624,-7.2477,25.2294,-0.8257
625,-7.2477,25.2294,-0.8257
626,-12.8440,21.0092,-6.6972
627,-12.8440,21.0092,-6.6972
628,-12.8440,21.0092,-6.6972
629,-14.9541,16.4220,-11.2844
630,-14.9541,16.4220,-11.2844
631,-14.9541,16.4220,-11.2844
632,-15.5046,14.2202,-12.2018
633,-15.5046,14.2202,-12.2018
634,-15.5046,14.2202,-12.2018
635,-15.5046,14.2202,-12.2018
636,-14.7706,11.7431,-14.4954
637,-14.7706,11.7431,-14.4954
638,-14.7706,11.7431,-14.4954
639,-14.4037,11.9266,-14.5872
640,-14.4037,11.9266,-14.5872
641,-14.4037,11.9266,-14.5872
642,-15.7798,12.8440,-12.7523
643,-15.7798,12.8440,-12.7523
644,-15.7798,12.8440,-12.7523
645,-15.7798,12.8440,-12.7523
646,-18.7156,12.9358,-10.0000
647,-18.7156,12.9358,-10.0000
648,-18.7156,12.9358,-10.0000
649,-21.9266,11.7431,-6.0550
650,-21.9266,11.7431,-6.0550
651,-21.9266,11.7431,-6.0550
652,-25.1376,8.2569,-1.3761
653,-25.1376,8.2569,-1.3761
654,-25.1376,8.2569,-1.3761
655,-25.1376,8.2569,-1.3761
656,-27.3394,1.9266,3.4862
657,-27.3394,1.9266,3.4862
658,-27.3394,1.9266,3.4862
659,-27.4312,-9.1743,5.7798
660,-27.4312,-9.1743,5.7798
661,-27.4312,-9.1743,5.7798
662,-22.8440,-23.3945,3.1193
663,-22.8440,-23.3945,3.1193
664,-22.8440,-23.3945,3.1193
665,-22.8440,-23.3945,3.1193
666,-15.4128,-31.8349,-0.7339
667,-15.4128,-31.8349,-0.7339
668,-15.4128,-31.8349,-0.7339
669,-8.3486,-35.4128,-6.0550
670,-8.3486,-35.4128,-6.0550
671,-8.3486,-35.4128,-6.0550
672,-2.0183,-36.2385,-10.6422
673,-2.0183,-36.2385,-10.6422
674,-2.0183,-36.2385,-10.6422
675,-2.0183,-36.2385,-10.6422
676,3.9450,-34.9541,-14.8624
677,3.9450,-34.9541,-14.8624
678,3.9450,-34.9541,-14.8624
679,11.5596,-30.6422,-19.7248
680,11.5596,-30.6422,-19.7248
681,11.5596,-30.6422,-19.7248
682,17.5229,-25.1376,-22.2018
683,17.5229,-25.1376,-22.2018
684,17.5229,-25.1376,-22.2018
685,17.5229,-25.1376,-22.2018
686,21.7431,-19.5413,-23.3945
687,21.7431,-19.5413,-23.3945
688,21.7431,-19.5413,-23.3945
689,24.8624,-13.8532,-23.3945
690,24.8624,-13.8532,-23.3945
